ANL_index,ANL_Run,ANL_Table,DIA_in,LENGTH_in,G_1e6,Hsub_BTUlb,qCHF_1e6,ANL_dh_exit_BTUlb,ANL_Note,match_status,TM_EXPT_NO,TM_Exit_Quality,TM_flag
182,19-19,ANL_Table_II_D0p436,0.436,18.0,0.256,5.5,0.33,206.5,,MATCH_EXACT,573.09,0.448,J
183,19-20,ANL_Table_II_D0p436,0.436,18.0,0.251,525.0,0.858,36.0,,MATCH_EXACT,564.09,0.085,J
184,19-21,ANL_Table_II_D0p436,0.436,18.0,0.25,464.0,0.781,51.0,,MATCH_EXACT,560.09,0.112,J
185,19-22,ANL_Table_II_D0p436,0.436,18.0,0.25,387.0,0.702,74.0,,MATCH_EXACT,561.09,0.166,J
186,19-23,ANL_Table_II_D0p436,0.436,18.0,0.255,327.0,0.67,105.0,,MATCH_EXACT,571.09,0.231,J
187,19-24,ANL_Table_II_D0p436,0.436,18.0,0.254,279.0,0.612,117.5,,MATCH_EXACT,569.09,0.257,J
188,19-25,ANL_Table_II_D0p436,0.436,18.0,0.256,204.0,0.549,147.5,,MATCH_EXACT,574.09,0.324,J
189,19-26,ANL_Table_II_D0p436,0.436,18.0,0.253,157.0,0.499,166.0,,MATCH_EXACT,568.09,0.364,J
190,19-27,ANL_Table_II_D0p436,0.436,18.0,0.266,126.5,0.475,166.5,,MATCH_EXACT,580.09,0.363,J
191,19-28,ANL_Table_II_D0p436,0.436,18.0,0.262,91.5,0.432,179.5,,MATCH_EXACT,578.09,0.39,J
192,19-29,ANL_Table_II_D0p436,0.436,18.0,0.26,42.5,0.373,193.5,,MATCH_EXACT,576.09,0.42,J
193,19-30,ANL_Table_II_D0p436,0.436,18.0,0.251,5.5,0.339,216.5,,MATCH_EXACT,565.09,0.469,J
194,19-31,ANL_Table_II_D0p436,0.436,18.0,0.258,601.0,0.88,-39.5,,MATCH_EXACT,575.09,-0.081,J
195,19-32,ANL_Table_II_D0p436,0.436,18.0,0.255,510.0,0.801,8.0,,MATCH_EXACT,572.09,0.019,J
196,19-34,ANL_Table_II_D0p436,0.436,18.0,0.24,281.0,0.599,129.5,,MATCH_EXACT,557.09,0.283,J
197,19-35,ANL_Table_II_D0p436,0.436,18.0,0.254,152.0,0.489,164.0,,MATCH_EXACT,570.09,0.358,J
198,19-36,ANL_Table_II_D0p436,0.436,18.0,0.262,64.0,0.4,187.0,,MATCH_EXACT,579.09,0.406,J
199,19-37,ANL_Table_II_D0p436,0.436,18.0,0.25,0.0,0.32,210.0,,MATCH_EXACT,562.09,0.456,J
